date,Monitor ID,NO2 (ppb),NO2 (Plume AQI),VOC (ppb),VOC (Plume AQI),pm 1 (ug/m3),pm 1 (Plume AQI),pm 10 (ug/m3),pm 10 (Plume AQI),pm25 (ug/m3),pm 25 (Plume AQI),latitude,longitude
2022-01-01 00:00:00,13350,54,19,172,15,4,11,33,47,20,30,42.379941,-83.751616
2022-01-01 01:00:00,13450,48,11,188,12,3,19,33,45,17,32,41.829074,-84.799743
2022-01-01 02:00:00,13550,55,14,182,12,5,12,33,37,13,26,42.131896,-84.821043
2022-01-01 03:00:00,13730,56,12,183,14,6,20,42,32,16,35,42.613375,-84.719528
2022-01-01 04:00:00,13210,58,16,185,15,9,14,33,43,1,23,42.71481,-84.436255
2022-01-01 05:00:00,13980,54,0,180,14,5,22,27,47,6,19,42.250508,-84.063566
2022-01-01 06:00:00,13980,52,14,182,13,5,26,36,41,11,23,42.615337,-83.895362
2022-01-01 07:00:00,13040,53,21,184,15,9,25,33,44,25,34,42.474684,-83.809148
2022-01-01 08:00:00,13350,51,3,170,13,10,14,39,42,6,17,42.598973,-83.847505
2022-01-01 09:00:00,13650,52,16,182,14,6,24,39,42,18,26,42.187208,-84.411499
2022-01-01 10:00:00,13150,52,21,184,13,4,26,33,42,20,39,42.351483,-84.772374
2022-01-01 11:00:00,13080,53,0,182,14,8,20,31,41,6,18,42.369809,-83.906174
2022-01-01 12:00:00,13690,57,11,187,13,8,15,30,36,12,36,42.037572,-83.762207
2022-01-01 14:00:00,13590,52,6,188,12,7,22,36,48,20,29,42.296622,-84.740333
2022-01-01 15:00:00,13050,52,7,177,13,5,21,37,42,14,24,42.309236,-84.41211
2022-01-01 16:00:00,13970,47,12,179,14,5,19,37,48,11,39,41.948589,-84.626598
2022-01-01 17:00:00,13340,51,13,175,14,6,14,35,39,3,31,42.457652,-84.555325
2022-01-01 18:00:00,13630,52,19,187,13,6,13,32,42,13,35,42.07537,-84.299984
2022-01-01 19:00:00,13560,54,9,182,14,8,21,29,40,7,28,42.597439,-84.540385
